OnEk	OnEkAciklamasi	NetCarpan
ERS	ERSOY ÇOCUK	0.977812
POKIPO	POKİPO BABY	1.200042
CODE	CODE TEKSTİL	1.255600
ERCAN	ERCAN BEBE	1.153235
COCO	MİMİ COCO	1.222265
HIBABY	BABY Hİ	1.213931
FERY	FERY BABY	1.213931
VANES	VANESSA	1.222265
SD	SD BABY	0.950033
MINIMAL	BABY MİNİMAL	1.014536
MNKAY	MİNİKAY	1.211154
MDUNYA	MİNİDÜNYA 	2.166743
EPANY	EPANY	1.222265
LAVIN	LAVİN ELEGANT	0.975367
MSC	MSC	1.222265
CUNO	CANCUNO	1.136706
MIDI	MIDIKON	1.161152
ZABEL	ZABEL	1.244488
ANNORA	ANNORA BABY	1.277823
LOMIX	LOMİX KİDS	1.038925
LORE	MİSS LORE	1.038925
LESSOT	LESSOTTO KİDS	0.986701
CIT	ÇITÇIT	1.222265
TABU	TABU	1.244488
TABU	TABU	1.244488
BICCO	HAPPY BİCCO BABY	2.211189
LILY	LİLYGİRL	0.977812
KIGGY	KİGGY GİRL	0.977812
TROY	TROY	1.222265
ZEYU	ZEYUBABY	1.161152
SHINE	SHINE BABY	1.038925
DODO	DODO MİDO	1.213931
IKLI	İKLİMİX	1.022258
EKY	EKY STAR	1.277823
PAN	PANTUSH	1.277823
EXE	EXELANCE	1.244488
UCCE	UCCELLİNO BABY & KİDS	1.222265
BEBIMO	BEBİMO	1.233377
VAYA	VAYA	1.222265
LOYAX	LOYAX KİDS WEAR	1.244488
MCT	MCT CLASS	1.244488
QUEEN	QUEEN PERY	1.222265
EMI	EMI CLASS	1.066704
DMR	DEMİRDAĞ TEKSTİL	0.313900
